0.00000	0.00195
0.00002	0.00180
0.00005	0.00177
0.00007	0.00180
0.00009	0.00180
0.00011	0.00165
0.00014	0.00165
0.00016	0.00162
0.00018	0.00146
0.00020	0.00150
0.00023	0.00140
0.00025	0.00137
0.00027	0.00137
0.00029	0.00137
0.00032	0.00140
0.00034	0.00159
0.00036	0.00171
0.00039	0.00146
0.00041	0.00146
0.00043	0.00156
0.00045	0.00134
0.00048	0.00131
0.00050	0.00128
0.00052	0.00143
0.00054	0.00146
0.00057	0.00146
0.00059	0.00150
0.00061	0.00137
0.00063	0.00143
0.00066	0.00146
0.00068	0.00162
0.00070	0.00150
0.00073	0.00156
0.00075	0.00153
0.00077	0.00153
0.00079	0.00146
0.00082	0.00143
0.00084	0.00150
0.00086	0.00134
0.00088	0.00140
0.00091	0.00143
0.00093	0.00119
0.00095	0.00125
0.00098	0.00125
0.00100	0.00119
0.00102	0.00119
0.00104	0.00128
0.00107	0.00116
0.00109	0.00113
0.00111	0.00104
0.00113	0.00107
0.00116	0.00107
0.00118	0.00098
0.00120	0.00104
0.00122	0.00098
0.00125	0.00095
0.00127	0.00095
0.00129	0.00104
0.00132	0.00079
0.00134	0.00085
0.00136	0.00107
0.00138	0.00107
0.00141	0.00095
0.00143	0.00101
0.00145	0.00101
0.00147	0.00119
0.00150	0.00119
0.00152	0.00113
0.00154	0.00107
0.00156	0.00119
0.00159	0.00119
0.00161	0.00116
0.00163	0.00153
0.00166	0.00140
0.00168	0.00125
0.00170	0.00131
0.00172	0.00131
0.00175	0.00113
0.00177	0.00101
0.00179	0.00101
0.00181	0.00092
0.00184	0.00092
0.00186	0.00092
0.00188	0.00098
0.00190	0.00089
0.00193	0.00101
0.00195	0.00082
0.00197	0.00070
0.00200	0.00067
0.00202	0.00064
0.00204	0.00067
0.00206	0.00058
0.00209	0.00055
0.00211	0.00055
0.00213	0.00049
0.00215	0.00052
0.00218	0.00052
0.00220	0.00049
0.00222	0.00037
0.00224	0.00043
0.00227	0.00052
0.00229	0.00052
0.00231	0.00046
0.00234	0.00052
0.00236	0.00058
0.00238	0.00043
0.00240	0.00052
0.00243	0.00049
0.00245	0.00058
0.00247	0.00064
